Timestamp_From,Timestamp_To,Special_Filling_temp,Special_Filling_Flow,First_Agglo_Tank_Temp_T42,Tank_47_Temp,PPT-48_Temperature,Fine_Seed_Tonnage,Fine_Seed_Flow,Fine_Seed_Density,Fine_Seed_Charge,Fine_Seed_SSA,Fine_Seed_3_5u,Fine_Seed_45u,Fine_Seed_D50,PHE_Inlet_Temp,PHE_Outlet_Temp,Regular_Filling_Flow,Tank__52_Temp,Tank__56_Temp,Coarse_Seed_1_Tonnage,Coarse_Seed_2_Tonnage,Coarse_Seed_2_Flow,Coarse_Seed_1_Density,Coarse_Seed_2_Density,HAT_3_5u,HAT_45u,HAT_D50,Filling_Concentration,Filling_Ratio,Batch_Circulation_Hrs,Feed_Hydrate_D50,Feed_Hydrate_SSA,Date,Feed_Hydrate_200
3/6/25 13:00,3/6/25 14:00,98.06,180.49,80.76,69.27,59.09,30.26,100.01,1.4,0,,,,,74.61,56.22,81.64,68.63,65.79,122.72,145.17,196.79,1.58,1.61,,,,,,,,,00:00.0,
3/6/25 12:00,3/6/25 13:00,97.74,161,80.95,68.1,59.05,28.44,87.68,1.41,0,0.16,0.7,26.6,58.2,73.62,61.36,150.24,68.1,65.73,96.15,160.69,218.67,1.51,1.61,0,4.8,84.2,,,,101,0.06,00:00.0,
3/6/25 11:00,3/6/25 12:00,97.29,145.15,80.86,67.88,59,27.92,84.52,1.41,0,,,,,73.09,60.26,136.45,68.07,65.71,144.12,156.71,204.08,1.57,1.62,,,,240.3,0.66,,,,00:00.0,
3/6/25 10:00,3/6/25 11:00,97.8,152.67,81.11,67.95,58.92,29.65,90.03,1.41,0,,,,,72.51,58.25,138.63,68.15,65.64,134.14,151.93,206.9,1.54,1.6,,,,,,,,,00:00.0,
3/6/25 9:00,3/6/25 10:00,98.47,149.71,80.91,67.74,58.83,29.85,85.59,1.42,0,,,,,72.55,58.7,129.03,68.09,65.56,148.5,135.97,197.41,1.62,1.58,,,,,,,,,00:00.0,75
3/6/25 8:00,3/6/25 9:00,98.29,138.3,80.97,68.2,58.74,27.99,80.04,1.42,0,,,,,71.91,54.14,74.51,68.39,65.53,102.34,152.26,250.51,1.5,1.54,,,,,,,,,00:00.0,
3/6/25 7:00,3/6/25 8:00,98.18,136.58,81.01,67.72,58.73,28.73,80.01,1.42,0,,,,,71.47,57.42,170.03,68.26,65.51,114.83,175.53,225.67,1.53,1.63,,,,237.6,0.65,,,,00:00.0,
3/6/25 6:00,3/6/25 7:00,98.21,139.49,81.02,68.73,58.74,28.7,79.96,1.42,0,,,,,66.13,52.58,50.48,68.37,65.6,131.25,128.3,196.29,1.57,1.57,,,,,,,,,00:00.0,
3/6/25 5:00,3/6/25 6:00,97.66,144.07,80.98,68.24,58.76,29.28,80.01,1.43,0,,,,,73.75,57.87,106.92,68.23,65.68,152.82,149.5,191.53,1.64,1.63,,,,,,,,,00:00.0,
3/6/25 4:00,3/6/25 5:00,98.4,141.79,81.02,67.94,58.77,28.43,79.97,1.42,0,,,,,74.21,63.54,185.27,68.07,65.72,111.5,144.72,199.89,1.52,1.6,,,,227.6,0.66,,,,00:00.0,
3/6/25 3:00,3/6/25 4:00,98.64,144.77,80.99,68.02,58.75,27.58,80,1.42,0,,,,,74.62,57.32,94.82,68.04,65.82,125.49,152.68,198.58,1.55,1.62,,,,,,,,,00:00.0,
3/6/25 2:00,3/6/25 3:00,98.33,122.43,80.78,67.4,58.73,27.77,80.03,1.42,0,,,,,74.72,64.56,178.19,67.79,65.88,143.2,137.87,236.14,1.55,1.53,,,,,,,,,00:00.0,
3/6/25 1:00,3/6/25 2:00,97.6,136.28,81.18,67.31,58.88,29.34,80.04,1.43,0,,,,,73.86,64.02,192.72,67.84,65.89,168.31,164.33,224.85,1.6,1.61,,,,,,,95.3,0.07,00:00.0,
3/6/25 0:00,3/6/25 1:00,98.15,133.79,80.93,67.22,58.97,29.35,79.99,1.43,0,0.13,0.5,17.3,65.1,73.65,61.6,147.29,67.92,65.93,133.29,202.12,258.6,1.51,1.63,0,7.5,75.9,236,0.66,,,,00:00.0,
3/5/25 23:00,3/6/25 0:00,98.76,138.27,81.13,67.52,58.99,28.86,80.21,1.42,0,,,,,73.52,60.94,144.56,68.21,66.02,175.33,166.58,229.45,1.63,1.59,,,,,,,,,00:00.0,
3/5/25 22:00,3/5/25 23:00,98.66,136.97,80.95,68.07,58.99,28.79,80.01,1.42,0,,,,,73.82,59.68,133.14,68.42,65.99,123.39,162.61,281.37,1.56,1.53,,,,,,,,,00:00.0,
3/5/25 21:00,3/5/25 22:00,98.64,138.55,80.97,68.35,58.97,28.96,80,1.43,0,,,,,74.62,65.17,219.44,68.6,65.91,126.04,153.93,210.62,1.57,1.61,,,,,,,,,00:00.0,
3/5/25 20:00,3/5/25 21:00,98.63,128.02,81.01,67.86,58.98,28.2,80.01,1.42,0,,,,,74.71,63.63,206.69,68.43,65.93,104.39,187.94,270.76,1.52,1.59,,,,,,,,,00:00.0,
3/5/25 19:00,3/5/25 20:00,98.42,130.61,81.01,68.24,59.04,28.83,80.03,1.42,0,0.2,1,36,53.3,74.22,58.07,125.39,68.63,66.1,127.45,210.06,262.27,1.57,1.63,0,5.2,79.3,237.5,0.67,,,,00:00.0,
3/5/25 18:00,3/5/25 19:00,98.9,139.92,81.05,68.58,59.11,28.62,80.01,1.42,0,,,,,71.14,58.74,157.16,68.66,66.18,102.25,184.74,225.04,1.53,1.64,,,,,,,,,00:00.0,
3/5/25 17:00,3/5/25 18:00,99.08,144.81,80.96,68.58,59.17,28.96,79.96,1.43,0,,,,,75.05,63.39,173.71,68.53,66.13,142.93,124.55,172.3,1.66,1.6,,,,,,,,,00:00.0,
3/5/25 16:00,3/5/25 17:00,98.74,134.05,81,67.9,59.17,25.46,80.03,1.4,0,,,,,74.38,64.35,200.58,68.31,65.89,98.11,132.22,230.34,1.53,1.53,,,,,,,95.5,0.07,00:00.0,
3/5/25 15:00,3/5/25 16:00,99.04,133.46,80.99,67.93,59.12,28.55,80.05,1.42,0,,,,,74.01,61.83,159.11,68.34,65.67,124.58,181.61,243.05,1.58,1.61,,,,231.3,0.67,,,,00:00.0,
3/5/25 14:00,3/5/25 15:00,99.88,137.7,81.06,68.39,59.12,29.33,80,1.43,0,,,,,74.13,63.1,173.68,68.42,65.6,114.6,160.14,198.35,1.56,1.64,,,,,,,,,00:00.0,
3/5/25 13:00,3/5/25 14:00,98.79,151.51,81.04,68.18,59.09,30.18,80,1.43,0,0,1,37.3,52.2,73.55,60.04,149.96,68.25,65.48,131.81,140.17,212.19,1.61,1.58,0,4.9,82.8,,,,,,00:00.0,
3/5/25 12:00,3/5/25 13:00,98.1,152.3,80.99,68.29,58.96,29.37,79.96,1.43,0,,,,,73.81,61.53,155.12,68.11,65.41,109.24,126.29,198.47,1.54,1.56,,,,228.6,0.67,,100.9,0,00:00.0,
3/5/25 11:00,3/5/25 12:00,97.92,154.45,81.04,67.94,58.8,27.33,80.02,1.42,0,,,,,73.57,63.91,200.99,67.88,65.41,132.57,165.02,203.27,1.59,1.64,,,,,,,,,00:00.0,
3/5/25 10:00,3/5/25 11:00,97.49,162.2,81.02,67.9,58.63,27.91,79.99,1.42,0,,,,,73.06,60.29,145.65,67.77,65.57,132.39,139.82,184.18,1.57,1.62,,,,,,,,,00:00.0,
