Timestamp_From,Timestamp_To,Special_Filling_temp,Special_Filling_Flow,First_Agglo_Tank_Temp_T42,Tank_47_Temp,PPT-48_Temperature,Fine_Seed_Tonnage,Fine_Seed_Flow,Fine_Seed_Density,Fine_Seed_Charge,Fine_Seed_SSA,Fine_Seed_3_5u,Fine_Seed_45u,Fine_Seed_D50,PHE_Inlet_Temp,PHE_Outlet_Temp,Regular_Filling_Flow,Tank__52_Temp,Tank__56_Temp,Coarse_Seed_1_Tonnage,Coarse_Seed_2_Tonnage,Coarse_Seed_2_Flow,Coarse_Seed_1_Density,Coarse_Seed_2_Density,HAT_3_5u,HAT_45u,HAT_D50,Filling_Concentration,Filling_Ratio,Batch_Circulation_Hrs,Feed_Hydrate_D50,Feed_Hydrate_SSA,Date
2023-01-01 00:00:21,2023-01-01 01:00:00,92.69,198.33,78.54,76.76,53.23,58.68,120.09,1.49,,,,,,71.0,50.64,412.86,62.3,62.98,100.4,165.4,216.89,1.52,1.62,,,,227.2,0.671,,,,2023-01-01
2023-01-01 01:00:00,2023-01-01 02:00:00,92.9,194.91,78.96,76.9,53.16,50.27,103.75,1.48,,,,,,71.49,51.85,419.31,62.16,62.89,114.08,170.75,222.75,1.58,1.62,,,,,,,,,2023-01-01
2023-01-01 02:00:00,2023-01-01 03:00:00,93.92,195.96,79.59,77.1,52.79,48.76,100.09,1.49,,,,,,66.26,53.48,419.38,63.25,62.82,92.75,144.19,187.43,1.57,1.62,,,,,,,,,2023-01-01
2023-01-01 03:00:00,2023-01-01 04:00:00,93.85,190.95,79.78,77.31,52.68,48.69,99.92,1.49,,,,,,71.96,52.76,421.48,63.04,62.75,77.88,149.98,219.66,1.52,1.58,,,,,,,,,2023-01-01
2023-01-01 04:00:00,2023-01-01 05:00:00,93.83,193.25,79.76,77.43,52.67,50.88,99.98,1.5,,,,,,69.1,48.16,422.53,62.95,62.72,80.24,166.52,219.01,1.53,1.61,,,,231.5,0.674,,,,2023-01-01
2023-01-01 05:00:00,2023-01-01 06:00:00,93.74,180.09,80.12,77.55,52.75,46.71,92.29,1.48,,0.09,1.1,41.2,49.7,74.51,55.4,420.29,62.94,62.74,93.82,165.65,209.57,1.58,1.63,0.7,26.8,62.0,,,,91.1,0.049,2023-01-01
2023-01-01 06:00:00,2023-01-01 07:00:00,93.64,186.56,79.97,77.68,52.7,51.75,99.96,1.5,,,,,,69.92,50.61,408.6,62.55,62.73,77.01,138.39,220.83,1.52,1.55,,,,,,,,,2023-01-01
2023-01-01 07:00:00,2023-01-01 08:00:00,93.86,183.79,79.96,77.81,52.68,54.77,106.29,1.5,,,,,,73.58,47.09,406.36,63.17,62.72,97.0,165.18,212.18,1.58,1.62,,,,,,,,,2023-01-01
2023-01-01 08:00:00,2023-01-01 09:00:00,93.52,182.23,79.9,77.87,52.66,55.11,109.89,1.49,,,,,,73.91,53.59,399.54,63.17,62.68,85.5,151.88,220.15,1.55,1.58,,,,231.1,0.665,,,,2023-01-01
2023-01-01 09:00:00,2023-01-01 10:00:00,93.52,191.61,79.71,77.84,52.7,58.22,117.4,1.49,,,,,,72.53,55.88,392.41,63.17,62.77,102.45,153.59,214.41,1.6,1.59,,,,,,45.86,,,2023-01-01
